Main-related Command Support List;;
Code;Means;'TX-NR609
"QSTN";gets HDMI Audio Out;Yes
 "RES" - Monitor Out Resolution;;
"00";sets Through;Yes
"01";sets Auto(HDMI Output Only);Yes
"02";sets 480p;Yes
"03";sets 720p;Yes
"04";sets 1080i;Yes
"05";sets 1080p(HDMI Output Only);Yes
"07";sets 1080p/24fs(HDMI Output Only);No
"08";sets 4K Upcaling(HDMI Output Only);Yes
"06";sets Source;No
"UP";sets Monitor Out Resolution Wrap-Around Up;Yes
"QSTN";gets The Monitor Out Resolution;Yes
"ISF" - ISF Mode;;
"00";sets ISF Mode Custom;No
"01";sets ISF Mode Day;No
"02";sets ISF Mode Night;No
"UP";sets ISF Mode State Wrap-Around Up;No
"QSTN";gets The ISF Mode State;No
 "VWM" - Video Wide Mode;;
"00";sets Auto;Yes
"01";sets 4:3;Yes
"02";sets Full;Yes
"03";sets Zoom;Yes
"04";sets Wide Zoom;Yes
"05";sets Smart Zoom;No
"UP";sets Video Zoom Mode Wrap-Around Up;Yes
"QSTN";gets Video Zoom Mode;Yes
 "VPM" -Video Picture Mode;;
"00";sets Through;Yes
"01";sets Custom;Yes
"02";sets Cinema;Yes
"03";sets Game;Yes
"05";sets ISF Day;No
"06";sets ISF Night;No
"07";sets Streaming;No
"08";sets Direct;Yes
"UP";sets Video Zoom Mode Wrap-Around Up;Yes
"QSTN";gets Video Zoom Mode;Yes
"LMD" - Listening Mode Command;;
"00";sets STEREO;Yes
"01";sets DIRECT ;Yes
"02";sets SURROUND;Yes
"03";sets FILM                                      Game-RPG;Yes
"04";sets THX;Yes
"05";sets ACTION                                 Game-Action;Yes
"06";sets MUSICAL                               Game-Rock;Yes
"07";sets MONO MOVIE;No
"08";sets ORCHESTRA;Yes
"09";sets UNPLUGGED;Yes
"0A";sets STUDIO-MIX;Yes
"0B";sets TV LOGIC;Yes
"0C";sets ALL CH STEREO;Yes
"0D";sets THEATER-DIMENSIONAL ;Yes
"0E";sets ENHANCED 7/ENHANCE       Game-Sports;Yes
"0F";sets MONO ;Yes
"11";sets PURE AUDIO ;Yes*4
"12";sets MULTIPLEX;No
"13";sets FULL MONO;Yes
"14";sets DOLBY VIRTUAL;No
"15";sets DTS Surround Sensation;No
"16";sets Audyssey DSX;Yes
"1F";sets Whole House Mode;No
"40";sets 5.1ch Surround;No
"40";sets Straight Decode*1;Yes
"41";sets Dolby EX/DTS ES;No
"41";sets Dolby EX*2;Yes
"42";sets THX Cinema;Yes
"43";sets THX Surround EX;Yes
"44";sets THX Music;Yes
"45";sets THX Games;Yes
"50";sets THX U2/S2/I/S Cinema/Cinema2;Yes
"51";sets THX MusicMode,THX U2/S2/I/S Music;Yes
"52";sets THX Games Mode,THX U2/S2/I/S Games;Yes
"80";sets PLII/PLIIx Movie;Yes
"81";sets PLII/PLIIx Music;Yes
"82";sets Neo:6 Cinema/Neo:X Cinema;Yes
"83";sets Neo:6 Music/Neo:X Music;Yes
"84";sets PLII/PLIIx THX Cinema;Yes
"85";sets Neo:6/Neo:X THX Cinema;Yes
"86";sets PLII/PLIIx Game;Yes
"87";sets Neural Surr*3;No
"88";sets Neural THX/Neural Surround;No
"89";sets PLII/PLIIx THX Games;Yes
"8A";sets Neo:6/Neo:X THX Games;Yes
"8B";sets PLII/PLIIx THX Music;Yes
"8C";sets Neo:6/Neo:X THX Music;Yes
"8D";sets Neural THX Cinema;No
"8E";sets Neural THX Music;No
"8F";sets Neural THX Games;No
"90";sets PLIIz Height;Yes
"91";sets Neo:6 Cinema DTS Surround Sensation;No
"92";sets Neo:6 Music DTS Surround Sensation;No
"93";sets Neural Digital Music;No
"94";sets PLIIz Height + THX Cinema;Yes
"95";sets PLIIz Height + THX Music;Yes
"96";sets PLIIz Height + THX Games;Yes
"97";sets PLIIz Height + THX U2/S2 Cinema;No
"98";sets PLIIz Height + THX U2/S2 Music;No
"99";sets PLIIz Height + THX U2/S2 Games;No
"9A";sets Neo:X Game;No
"A0";sets PLIIx/PLII Movie + Audyssey DSX;Yes
"A1";sets PLIIx/PLII Music + Audyssey DSX;Yes
"A2";sets PLIIx/PLII Game + Audyssey DSX;Yes
"A3";sets Neo:6 Cinema + Audyssey DSX;No
"A4";sets Neo:6 Music + Audyssey DSX;No
"A5";sets Neural Surround + Audyssey DSX;No
"A6";sets Neural Digital Music + Audyssey DSX;No
"A7";sets Dolby EX + Audyssey DSX;No
"UP";sets Listening Mode Wrap-Around Up;Yes
"DOWN";sets Listening Mode Wrap-Around Down;Yes
"MOVIE";sets Listening Mode Wrap-Around Up;Yes
"MUSIC";sets Listening Mode Wrap-Around Up;Yes
"GAME";sets Listening Mode Wrap-Around Up;Yes
"QSTN";gets The Listening Mode;Yes
"LTN" - Late Night Command ;;
"00";sets Late Night Off;Yes
"01";sets Late Night Low@DolbyDigital,On@Dolby TrueHD;Yes
"02";sets Late Night High@DolbyDigital,(On@Dolby TrueHD);Yes
"03";sets Late Night Auto@Dolby TrueHD;Yes
"UP";sets Late Night State Wrap-Around Up;Yes
"QSTN";gets The Late Night Level;Yes
"RAS" - Re-EQ/Academy Filter Command ;;
"00";sets Both Off;No
"01";sets Re-EQ On;No
"02";sets Academy On;No
"UP";sets Re-EQ/Academy State Wrap-Around Up;No
"QSTN";gets The Re-EQ/Academy State;No
"RAS" - Re-EQ Command ;;
"00";sets Re-EQ Off;Yes
"01";sets Re-EQ On;Yes
"UP";sets Re-EQ State Wrap-Around Up;Yes
"QSTN";gets The Re-EQ State;Yes
"RAS" - Cinema Filter Command ;;
"00";sets Cinema Filter Off;No
"01";sets Cinema Filter On;No
"UP";sets Cinema Filter State Wrap-Around Up;No
"QSTN";gets The Cinema Filter State;No
"ADY" - Audyssey 2EQ/MultEQ/MultEQ XT;;
"00";sets Audyssey 2EQ/MultEQ/MultEQ XT Off;Yes
"01";sets Audyssey 2EQ/MultEQ/MultEQ XT On/Movie;Yes
"02";sets Audyssey 2EQ/MultEQ/MultEQ XT Music;Yes
"UP";sets Audyssey 2EQ/MultEQ/MultEQ XT State Wrap-Around Up;Yes
"QSTN";gets The Audyssey 2EQ/MultEQ/MultEQ XT State;Yes
"ADQ" - Audyssey Dynamic EQ;;
"00";sets Audyssey Dynamic EQ Off;Yes
"01";sets Audyssey Dynamic EQ On;Yes
"UP";sets Audyssey Dynamic EQ State Wrap-Around Up;Yes
"QSTN";gets The Audyssey Dynamic EQ State;Yes
"ADV" - Audyssey Dynamic Volume;;
"00";sets Audyssey Dynamic Volume Off;Yes
"01";sets Audyssey Dynamic Volume Light;Yes
"02";sets Audyssey Dynamic Volume Medium;Yes
"03";sets Audyssey Dynamic Volume Heavy;Yes
"UP";sets Audyssey Dynamic Volume State Wrap-Around Up;Yes
"QSTN";gets The Audyssey Dynamic Volume State;Yes
"DVL" - Dolby Volume;;
"00";sets Dolby Volume Off;No
"01";sets Dolby Volume Low/On;No
"02";sets Dolby Volume Mid;No
"03";sets Dolby Volume High;No
"UP";sets Dolby Volume State Wrap-Around Up;No
"QSTN";gets The Dolby Volume State;No
"MOT" - Music Optimizer;;
"00";sets Music Optimizer Off;Yes
"01";sets Music Optimizer On;Yes
"UP";sets Music Optimizer State Wrap-Around Up;Yes
"QSTN";gets The Dolby Volume State;Yes
*1 Newer than TX-SR805:Dolby Digital/DTS/AAC/DTS-ES/DTS 96/24/Dolby Digital Plus/True HD/DTS HD/DTS Master Audio acouding to input signal.;;
*2 Newer than TX-SR805:if you want to change Listening Mode to DTS-ES,please use parameter "40".;;
*3 Only Available North American Model;;
"TUN" - Tuning Command (Include Tuner Pack Model Only);;
"nnnnn";'sets Directly Tuning Frequency (FM nnn.nn MHz / AM nnnnn kHz / SR nnnnn ch)
put 0 in the first two digits of nnnnn at SR';Yes
"DIRECT";starts/restarts Direct Tuning Mode;Yes
"0";sets 0 in Direct Tuning Mode;Yes
"1";sets 1 in Direct Tuning Mode;Yes
"2";sets 2 in Direct Tuning Mode;Yes
"3";sets 3 in Direct Tuning Mode;Yes
"4";sets 4 in Direct Tuning Mode;Yes
"5";sets 5 in Direct Tuning Mode;Yes
"6";sets 6 in Direct Tuning Mode;Yes
"7";sets 7 in Direct Tuning Mode;Yes
"8";sets 8 in Direct Tuning Mode;Yes
"9";sets 9 in Direct Tuning Mode;Yes
"UP";sets Tuning Frequency Wrap-Around Up;Yes
"DOWN";sets Tuning Frequency Wrap-Around Down;Yes
"QSTN";gets The Tuning Frequency;Yes
Ex: FM 100.5 MHz(100/200kHz Step) Direct Tuning is [!1SLI24][!1TUNDIRECT][!1TUN1][!1TUN0][!1TUN0][!1TUN5];;
Ex: FM 100.55 MHz(50kHz Step) Direct Tuning is [!1SLI24][!1TUNDIRECT][!1TUN1][!1TUN0][!1TUN0][!1TUN5][!1TUN5];;
Ex: FM 90.0 MHz(100kHz Step) Direct Tuning is [!1SLI24][!1TUNDIRECT][!1TUN9][!1TUN0][!1TUN0];;
Ex: FM 90.00 MHz(50kHz Step) Direct Tuning is [!1SLI24][!1TUNDIRECT][!1TUN9][!1TUN0][!1TUN0][!1TUN0];;
Ex: AM 1230 kHz(10kHz Step) Direct Tuning is [!1SLI25][!1TUNDIRECT][!1TUN1][!1TUN2][!1TUN3];;
Ex: AM 1341 kHz(9kHz Step) Direct Tuning is [!1SLI25][!1TUNDIRECT][!1TUN1][!1TUN3][!1TUN4][!1TUN1];;
"PRS" - Preset Command (Include Tuner Pack Model Only);;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
